date,volume1,volume2,volume3
1974,17,15,2655
1975,10,19,2686
1976,11,13,2655
1977,13,13,2553
1978,11,13,2499
1979,12,13,2424
1980,13,9,2349
1981,21,8,2258
1982,19,6,2232
1983,33,12,2127
1984,31,5,2028
1985,34,10,1860
1986,41,11,1691
1987,34,12,1602
1988,26,8,1492
1989,22,5,1360
1990,18,7,1217
1991,13,9,1091
1992,17,18,968
1993,20,17,868
1994,19,17,842
1995,19,14,785
1996,14,12,762
1997,12,16,697
1998,13,13,678
1999,13,17,616
2000,12,15,653
2001,0,10,599
2002,0,16,555
2003,0,17,585
2004,0,12,484
2005,0,15,460
2006,0,12,477
2007,0,11,420
2008,0,10,410
2009,0,9,412
2010,0,0,352
2011,0,0,355
2012,0,0,297
2013,0,0,285
2014,0,0,263
