date,weight1,weight2,weight3,weight4,weight5
1974,67,20,5,2,2
1975,67,22,6,2,2
1976,70,20,5,2,2
1977,72,17,6,3,3
1978,70,17,5,3,4
1979,72,17,6,3,4
1980,70,18,6,4,5
1981,74,15,6,4,5
1982,71,16,6,4,4
1983,72,18,6,4,6
1984,71,15,6,4,5
1985,69,18,6,4,6
1986,74,17,7,5,7
1987,74,15,7,5,7
1988,73,15,7,6,8
1989,71,15,7,6,7
1990,72,15,7,5,7
1991,72,14,7,6,7
1992,68,16,7,8,5
1993,66,14,7,7,6
1994,64,14,7,7,5
1995,66,13,6,7,6
1996,61,15,9,7,6
1997,64,13,6,6,8
1998,62,12,6,6,7
1999,62,10,7,7,8
2000,67,10,6,6,8
2001,63,13,7,6,10
2002,62,14,8,6,10
2003,64,11,7,6,12
2004,59,12,8,5,12
2005,65,11,7,6,14
2006,65,10,7,5,15
2007,67,11,8,5,16
2008,62,11,7,4,15
2009,68,10,8,4,16
2010,66,9,8,5,19
2011,67,9,7,4,20
2012,64,7,8,5,19
2013,67,7,8,5,20
2014,61,7,7,5,20
